category,gender,stroke,event,event_m,record_holder,time_str,team,date_event
Best Indian Performance,Male,Medley Relay,4 x 100m,4 x 100,India,03:44.94,,Asian Games 2014
Best Indian Performance,Male,Freestyle Relay,4 x 100m,4 x 100,India,03:25.17,,Asian Games 2018
Best Indian Performance,Male,Medley,400 m,400,Advait Page,04:27.41,India,"Southern Zone South Sectional Championships 2021"
Best Indian Performance,Male,Medley,200 m,200,Siva Sridhar,02:05.43,India,"Khelo University Games, Bengaluru, India, 2022"
Best Indian Performance,Male,Butterfly,200 m,200,Sajan Prakash,01:56.38,India,"Sette Colli Trophy, Rome, Italy, 2021"
Best Indian Performance,Male,Butterfly,100 m,100,Veerdhawal Khade,00:52.77,Maharashtra,6th AASF
Best Indian Performance,Male,Butterfly,50 m,50,Veerdhawal Khade,00:24.09,Maharashtra,"Asian Games 2018 Heats"
Best Indian Performance,Male,Breaststroke,200 m,200,Sandeep Sejwal,02:12.02,Delhi,6th AASF
Best Indian Performance,Male,Breaststroke,100 m,100,Sandeep Sejwal,01:00.97,Delhi,Asian Age Group 2009
Best Indian Performance,Male,Breaststroke,50 m,50,Sandeep Sejwal,00:27.59,Delhi,"Singapore Nationals 2018"
Best Indian Performance,Male,Backstroke,200 m,200,Srihari Nataraj,02:01.70,Karnataka,"FINA World Junior Swimming Championships 2019 Budapest"
Best Indian Performance,Male,Backstroke,100 m,100,Srihari Nataraj,00:53.77,India,"Sette Colli Trophy 2021, Rome, Italy"
Best Indian Performance,Male,Backstroke,50 m,50,Srihari Nataraj,00:25.11,India,"Uzbekistan Open Championships 2021, Tashkent, Uzbekistan"
Best Indian Performance,Male,Freestyle,1500 m,1500,Advait Page,15:23.66,Unattached,"Gators Fran Crippen Swim Meet of Champions 2021, Mission Viejo, United States"
Best Indian Performance,Male,Freestyle,800 m,800,Advait Page,08:00.76,Madhya Pradesh,Madhya Pradesh
Best Indian Performance,Male,Freestyle,400 m,400,Kushagra Rawat,03:52.75,Delhi,"2020 NSW Open State Championships"
Best Indian Performance,Male,Freestyle,200 m,200,Sajan Prakash,01:49.73,India,"Sette Colli Trophy 2021, Rome, Italy"
Best Indian Performance,Male,Freestyle,100 m,100,Veerdhawal Khade,00:49.47,Maharashtra,CYG 2008
Best Indian Performance,Male,Freestyle,50 m,50,Veerdhawal Khade,00:22.43,Maharashtra,"Asian Games 2018"
Best Indian Performance,Female,Medley Relay,4 x 100m,4 x 100,SFI,04:29.81,,2018 Senior Nationals
Best Indian Performance,Female,Freestyle Relay,4 x 200m,4 x 200,India,08:53.83,Maharashtra,2012 Senior Nationals
Best Indian Performance,Female,Freestyle Relay,4 x 100m,4 x 100,India,04:01.18,,7th Asian Age Group 2011
Best Indian Performance,Female,Medley,400 m,400,Richa Mishra,04:59.17,Police,Senior Nationals 2018
Best Indian Performance,Female,Medley,200 m,200,Richa Mishra,02:23.62,Police,2010 Senior Nationals
Best Indian Performance,Female,Butterfly,200 m,200,Richa Mishra,02:18.66,Karnataka,Asian Age Group 2007
Best Indian Performance,Female,Butterfly,100 m,100,Astha Choudhury,01:02.71,Assam,Indian Junior Championships 2021
Best Indian Performance,Female,Butterfly,50 m,50,Divya Satija,00:28.33,Haryana,2019 Senior Nationals
Best Indian Performance,Female,Breaststroke,200 m,200,Apeksha Fernandes,02:38.05,India,"13th SAG 2019 (Nepal)"
Best Indian Performance,Female,Breaststroke,100 m,100,Chahat Arora,01:14.42,India,"Thailand Open Championships 2021"
Best Indian Performance,Female,Breaststroke,50 m,50,Chahat Arora,00:33.62,Punjab,Indian Championships 2021
Best Indian Performance,Female,Backstroke,200 m,200,Maana Patel,02:19.30,Gujarat,2015 Senior Nationals
Best Indian Performance,Female,Backstroke,100 m,100,Maana Patel,01:03.77,India,"Belgrade Trophy, Serbia, 2021"
Best Indian Performance,Female,Backstroke,50 m,50,Maana Patel,00:29.30,Gujarat,Asian Age Group
Best Indian Performance,Female,Freestyle,1500 m,1500,Richa Mishra,17:33.35,Police,"2009 6th AASF"
Best Indian Performance,Female,Freestyle,800 m,800,Richa Mishra,09:06.31,Police,2011 Senior Nationals
Best Indian Performance,Female,Freestyle,400 m,400,Richa Mishra,04:25.76,Police,2011 Senior Nationals
Best Indian Performance,Female,Freestyle,200 m,200,Shivani Katariya,02:04.34,Haryana,8th AASF 2015
Best Indian Performance,Female,Freestyle,100 m,100,Kenisha Gupta,00:57.35,India,"Sette Colli Trophy 2021, Rome, Italy"
