stroke,event_m,energy_system,focus,exercise_name,exercise_type,description,equipment,primary_muscles,sets,reps_or_time,distance_or_load,interval_or_rest_s,RPE_1_10,progression,regression,notes
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Underwater dolphin to 12.5m,pool,Fast streamline kick off wall to 12.5m then breakout,fins (optional),core;glutes;hip flexors,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Underwater dolphin to 12.5m'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Breakout 25s (12.5m fast to surface),pool,Max acceleration to surface then hold speed,none,lats;shoulders;triceps,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Breakout 25s (12.5m fast to surface)'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Catch-up with snorkel,pool,Front quadrant timing; maintain high elbow catch,snorkel,lats;shoulders;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Catch-up with snorkel'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,6-3-6 drill,pool,"Six kicks side-balance, three strokes, six kicks other side",none,core;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on '6-3-6 drill'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Paddles + pull buoy (hypoxic 5:7),pool,Strengthen pull; long lines; reduced kick,paddles;pull buoy,lats;triceps;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Paddles + pull buoy (hypoxic 5:7)'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Parachute sprint 25s,pool,Overload speed with light drag chute,drag chute,glutes;quads;hamstrings,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Parachute sprint 25s'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Tempo Trainer 50/100 pace,pool,Stroke-rate consistency with beeper,tempo trainer,cardiorespiratory;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Tempo Trainer 50/100 pace'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Vertical kick (dolphin→flutter),pool,"Power kicking; chest out, neutral spine",dumbbell or med ball,hip flexors;glutes;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Vertical kick (dolphin→flutter)'
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Freestyle,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns;power,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
